Feature,Importance
thal_3.0,0.09690797851949506
thalach,0.08805557573498639
oldpeak,0.08094987444849568
ca_0.0,0.07394139585777744
chol,0.07269131711822016
thal_7.0,0.0726839671114401
age,0.07258520167764769
cp_4.0,0.07201732408150632
trestbps,0.06283546281262997
exang_1.0,0.03862112039967866
exang_0.0,0.03599493785274156
slope_2.0,0.02799499298398692
sex_1.0,0.026575750939960303
slope_1.0,0.024999555983998663
sex_0.0,0.02091921954552958
ca_1.0,0.020274162949081673
cp_3.0,0.016576796989723454
cp_1.0,0.014933041067705719
restecg_2.0,0.014884233602254892
restecg_0.0,0.013463359028103567
cp_2.0,0.010199029584416347
ca_2.0,0.009990104047888729
ca_3.0,0.008721461021970599
fbs_1.0,0.008171467834732262
fbs_0.0,0.006999753540126283
thal_6.0,0.004213951904703443
slope_3.0,0.0037982891762893462
restecg_1.0,6.741849093521729e-07
